MAX	Max Motorcycle Hitch Carrier	https://mototote.com/collections/carriers/products/max-motorcycle-carrier-1
MAX_PLUS	Max Plus Motorcycle Hitch Carrier	https://mototote.com/collections/carriers/products/max-plus-motorcycle-carrier
MINI	Mini Bike Rack for Electric Bikes	https://mototote.com/collections/carriers/products/mini-bike-rack-for-electric-bikes
MINI_DUAL	Mini Dual Bicycle Rack for E Bikes	https://mototote.com/collections/carriers/products/mini-dual-bicycle-rack-for-two-e-bikes
M3	M3 Motorcycle Hitch Carrier	https://mototote.com/collections/carriers/products/m3-motorcycle-hitch-carrier
SPORT	Sport Motorcycle Hitch Carrier	https://mototote.com/collections/carriers/products/sport-motorcycle-hitch-carrier?variant=44511087722810
MAX_DUAL	Max Dual Double Motorcycle Hitch Carrier	https://mototote.com/collections/carriers/products/max-dual-motorcycle-carrier?variant=44511106269498
MAX_PLUS_DUAL	Max Plus Dual Double Motorcycle Hitch Carrier	https://mototote.com/collections/carriers/products/max-dual-motorcycle-carrier-1?variant=44511106302266
